Identifier	Comment	English	EnglishNodes	Deutsch	ZH	BE	SG	Francais
								
Syntax:								
								
N_	objective nodes in objectives hierarchy							
A_	attributes to be provided or calculated by preprocessing routines (inputs need to be adapted if modified)							
L_	"attribute levels (for discrete attributes; inputs need to be adapted if modified)"							
R_	results (either calculated output or documentation)							
R_ .. _doc_ ..	exclusively used for documentation of results (no side effects if modified)							
EnglishNodes	"""language"" that uses ""Deutsch"" for input, and ""English"" for output (to produce publication output from German input files)"							
								
Dictionary:								
								
N_ecol		Good ecological state	Good ecological state	Guter oekologischer Zustand	Guter oekologischer Zustand	Guter oekologischer Zustand	Guter oekologischer Zustand	Bon etat ecologique
N_phys		Good physical state	Good physical state	Guter physikalischer Zustand	Guter physikalischer Zustand	Guter physikalischer Zustand	Guter physikalischer Zustand	Bon etat physique
N_chem		Good chemical state	Good chemical state	Guter chemischer Zustand	Guter chemischer Zustand	Guter chemischer Zustand	Guter chemischer Zustand	Bon etat chimique
N_biol		Good biological state	Good biological state	Guter biologischer Zustand	Guter biologischer Zustand	Guter biologischer Zustand	Guter biologischer Zustand	Bon etat biologique
								
N_morphol		Good morphological state	Good morphological state	Guter Zustand Oekomorphologie	Guter Zustand Oekomorphologie	Guter Zustand Oekomorphologie	Guter Zustand Oekomorphologie	Bon etat ecomorphologique
N_morphol_coverage		No coverage	No coverage	Keine Eindolung	Keine Eindolung	Keine Eindolung	Keine Eindolung	Cours d'eau non mis sous terre
N_morphol_uncovered		Open river	Open river	Offener Fluss	Offener Fluss	Offener Fluss	Offener Fluss	Cours d'eau ouvert
N_morphol_widthvar		High width variability	High width variability	Hohe Breitenvariabilitaet	Hohe Breitenvariabilitaet	Hohe Breitenvariabilitaet	Hohe Breitenvariabilitaet	Grande variabilite de la largeur
N_morphol_bedmod		No bed modification	No bed modification	Keine Sohlenverbauung	Keine Sohlenverbauung	Keine Sohlenverbauung	Keine Sohlenverbauung	Pas d'amenagement du font
N_morphol_bedmod_riprap		No bed modification riprap	No bed modification riprap	Keine Sohlenschuettung	Keine Sohlenschuettung	Keine Sohlenschuettung	Keine Sohlenschuettung	Pas d'enrochement
N_morphol_bedmod_other		No bed modification other	No bed modification other	Keine andere Sohlenverbauung	Keine andere Sohlenverbauung	Keine andere Sohlenverbauung	Keine andere Sohlenverbauung	Pas d'autre amenagement
N_morphol_bankmod		No bank modification	No bank modification	Keine Boeschungsverbauung	Keine Boeschungsverbauung	Keine Boeschungsverbauung	Keine Boeschungsverbauung	Pas de renforcement du pied de la berge
N_morphol_bankmod_left		No bank modification left	No bank modification left	Keine Verbauung der Boeschung links	Keine Boeschungsverbauung links	Keine Boeschungsverbauung links	Keine Boeschungsverbauung links	Pas de renforcement du pied de berge gauche
N_morphol_bankmod_left_perm		No permeable bank modification left	No permeable bank modification left	Keine durchlaessige Verbauung der Boeschung links	Keine durchlaessige Boeschungsverbauung links	Keine durchlaessige Boeschungsverbauung links	Keine durchlaessige Boeschungsverbauung links	Pas de renforcement permeable gauche
N_morphol_bankmod_left_imperm		No impermeable bank modification left	No impermeable bank modification left	Keine undurchlaessige Verbauung der Boeschung links	Keine undurchlaessige Boeschungsverbauung links	Keine undurchlaessige Boeschungsverbauung links	Keine undurchlaessige Boeschungsverbauung links	Pas de reonforcement impermeable gauche
N_morphol_bankmod_right		No bank modification right	No bank modification right	Keine Verbauung der Boeschung rechts	Keine Boeschungsverbauung rechts	Keine Boeschungsverbauung rechts	Keine Boeschungsverbauung rechts	Pas de renforcement du pied de berge droit
N_morphol_bankmod_right_perm		No permeable bank modification right	No permeable bank modification right	Keine durchlaessige Verbauung der Boeschung rechts	Keine durchlaessige Boeschungsverbauung rechts	Keine durchlaessige Boeschungsverbauung rechts	Keine durchlaessige Boeschungsverbauung rechts	Pas de renforcement permeable droit
N_morphol_bankmod_right_imperm		No impermeable bank modification right	No impermeable bank modification right	Keine undurchlaessige Verbauung der Boeschung rechts	Keine undurchlaessige Boeschungsverbauung rechts	Keine undurchlaessige Boeschungsverbauung rechts	Keine undurchlaessige Boeschungsverbauung rechts	Pas de renforcement impermeable droit
N_morphol_riparzone		Near natural riparian zone	Near natural riparian zone	Naturnaher Uferbereich	Naturnaher Uferbereich	Naturnaher Uferbereich	Naturnaher Uferbereich	Rives naturelles
N_morphol_riparzone_left		Near natural riparian zone left	Near natural riparian zone left	Naturnaher Uferbereich links	Naturnaher Uferbereich links	Naturnaher Uferbereich links	Naturnaher Uferbereich links	Rives gauches naturelles
N_morphol_riparzone_left_width		Large width of riparian zone left	Large width of riparian zone left	Grosse Breite des Uferbereichs links	Grosse Breite des Uferbereichs links	Grosse Breite des Uferbereichs links	Grosse Breite des Uferbereichs links	Grandes largeurs des rives gauches
N_morphol_riparzone_left_width_highvar		Large width of riparian zone left (high width var.)	Large width of riparian zone left (high width var.)	Grosse Breite Uferbereich links (ausg. Breitenvar.)	Grosse Breite Uferbereich links (ausg. Breitenvar.)	Grosse Breite Uferbereich links (ausg. Breitenvar.)	Grosse Breite Uferbereich links (ausg. Breitenvar.)	Grandes largeurs des rives gauches (var. prononcee)
N_morphol_riparzone_left_width_moderatevar		Large width of riparian zone left (mod. width var.)	Large width of riparian zone left (mod. width var.)	Grosse Breite Uferbereich links (eing. Breitenvar.)	Grosse Breite Uferbereich links (eing. Breitenvar.)	Grosse Breite Uferbereich links (eing. Breitenvar.)	Grosse Breite Uferbereich links (eing. Breitenvar.)	Grandes largeurs des rives gauches  (var. limitee)
N_morphol_riparzone_left_width_novar		Large width of riparian zone left (no width var.)	Large width of riparian zone left (no width var.)	Grosse Breite Uferbereich links (keine Breitenvar.)	Grosse Breite Uferbereich links (keine Breitenvar.)	Grosse Breite Uferbereich links (keine Breitenvar.)	Grosse Breite Uferbereich links (keine Breitenvar.)	Grandes largeurs des rives gauches (var. nulle)
N_morphol_riparzone_left_veg		Natural vegetation in riparian zone left	Natural vegetation in riparian zone left	Natuerliche Vegetation im Uferbereich links	Natuerliche Uferbereichsvegetation links	Natuerliche Uferbereichsvegetation links	Natuerliche Uferbereichsvegetation links	Vegetation naturelle sur la rive gauche
N_morphol_riparzone_right		Near natural riparian zone right	Near natural riparian zone right	Naturnaher Uferbereich rechts	Naturnaher Uferbereich rechts	Naturnaher Uferbereich rechts	Naturnaher Uferbereich rechts	Rives droites naturelles
N_morphol_riparzone_right_width		Large width of riparian zone right	Large width of riparian zone right	Grosse Breite des Uferbereichs rechts	Grosse Breite des Uferbereichs rechts	Grosse Breite des Uferbereichs rechts	Grosse Breite des Uferbereichs rechts	Grandes largeurs des rives droites
